Function,Method,Start,Step,Iterations,Final x,Final y,Final f,Time (ms),Converged
Quadratic,Gradient Descent,"(1, 2)",0.001,4347,0.00017,0.00033,1.3800536076815703e-07,152.079,True
Quadratic,AdaGrad,"(1, 2)",0.001,100000,0.45117,1.40605,2.1805212896181474,5365.429,False
Quadratic,Adam,"(1, 2)",0.001,5169,0.0,0.0002,3.9022384664321026e-08,487.11,True
Quadratic,Gradient Descent,"(1, 2)",0.01,546,2e-05,3e-05,1.311730632238956e-09,22.614,True
Quadratic,AdaGrad,"(1, 2)",0.01,48601,0.0,0.01014,0.00010286634288356875,2876.748,True
Quadratic,Adam,"(1, 2)",0.01,780,0.0,4e-05,1.682845685399403e-09,59.443,True
Quadratic,Gradient Descent,"(1, 2)",0.1,61,0.0,0.0,7.515336264876274e-12,2.286,True
Quadratic,AdaGrad,"(1, 2)",0.1,1058,0.0,0.00011,1.2686771035406387e-08,50.732,True
Quadratic,Adam,"(1, 2)",0.1,239,-0.0,1e-05,6.803796810226481e-11,14.466,True
Quadratic,Newton,"(1, 2)",0.1,121,0.0,1e-05,4.2233526549338586e-11,12.321,True
Quadratic,Newton,"(1, 2)",0.5,22,0.0,0.0,2.8421715683180675e-13,1.776,True
Quadratic,Newton,"(1, 2)",1.0,2,0.0,0.0,3.124999898594745e-33,0.249,True
Quadratic,Gradient Descent,"(-3, 4)",0.001,4770,-0.00021,0.00028,1.2685391941453475e-07,231.649,True
Quadratic,AdaGrad,"(-3, 4)",0.001,100000,-2.39284,3.38657,17.19454549519297,5613.741,False
Quadratic,Adam,"(-3, 4)",0.001,8264,-0.0,0.00021,4.3497881816764796e-08,1494.431,True
Quadratic,Gradient Descent,"(-3, 4)",0.01,588,-2e-05,3e-05,1.201724797908115e-09,16.04,True
Quadratic,AdaGrad,"(-3, 4)",0.01,100000,-0.0224,0.20375,0.04201520607929227,7526.707,False
Quadratic,Adam,"(-3, 4)",0.01,1555,-0.0,8e-05,5.984902728572668e-09,425.886,True
Quadratic,Gradient Descent,"(-3, 4)",0.1,65,-0.0,0.0,6.304320991423124e-12,3.002,True
Quadratic,AdaGrad,"(-3, 4)",0.1,3711,-0.0,0.00043,1.8136786968045896e-07,295.556,True
Quadratic,Adam,"(-3, 4)",0.1,238,1e-05,-2e-05,6.162960652289359e-10,47.626,True
Quadratic,Newton,"(-3, 4)",0.1,129,-0.0,1e-05,3.912978901898765e-11,18.024,True
Quadratic,Newton,"(-3, 4)",0.5,23,-0.0,0.0,3.55271449592473e-13,2.555,True
Quadratic,Newton,"(-3, 4)",1.0,2,-0.0,0.0,1.5624999617050814e-32,0.41,True
Rosenbrock,Gradient Descent,"(1, 2)",0.001,16612,1.00083,1.00167,6.960707359706678e-07,586.979,True
Rosenbrock,AdaGrad,"(1, 2)",0.001,59012,1.29687,1.71835,0.2212580958756148,3078.084,True
Rosenbrock,Adam,"(1, 2)",0.001,13822,1.00007,1.00015,5.471817252180609e-09,750.216,True
Rosenbrock,Gradient Descent,"(1, 2)",0.01,100000,-9999.0,9999.0,9.994001300880004e+17,3220.658,False
Rosenbrock,AdaGrad,"(1, 2)",0.01,100000,1.2687,1.61039,0.07226194909289076,7242.043,False
Rosenbrock,Adam,"(1, 2)",0.01,6820,1.00007,1.00014,4.8797306281877525e-09,450.225,True
